flow	key	kind	english	czech_current	czech_native
03 · Onboarding	onboarding.firstHello.bubbles[2]	string	Browse neighbors on Home, or run your cell from My Garage.	Sousedy procházejte Domů, buňku veďte z Moje garáž.	
03 · Onboarding	onboarding.firstHello.cta	string	Let's go →	Jdeme na to →	
03 · Onboarding	onboarding.firstHello.skipHint	string	Tap to skip intro	Klepnutím přeskočíte úvod	
03 · Onboarding	onboarding.location.onBlock.cta	string	Browse near me →	Hledat poblíž →	
03 · Onboarding	onboarding.location.onBlock.subtitle	string	Use GPS or your street address — sort by distance from home.	Použijte GPS nebo adresu — řazení podle vzdálenosti od domova.	
03 · Onboarding	onboarding.location.onBlock.title	string	I'm on my block	Jsem na svém bloku	
03 · Onboarding	onboarding.location.subtitle	string	We show garages and shelves near you.	Ukážeme garáže a police poblíž vás.	
03 · Onboarding	onboarding.location.title	string	Where's your block?	Kde je váš blok?	
03 · Onboarding	onboarding.location.trip.cta	string	Choose destination →	Vybrat destinaci →	
03 · Onboarding	onboarding.location.trip.subtitle	string	Pick a city or neighborhood before you arrive.	Vyberte město nebo čtvrť, kam jedete.	
03 · Onboarding	onboarding.location.trip.title	string	I'm visiting another area	Jsem v jiné oblasti	
03 · Onboarding	onboarding.productIntro.body	string	Each home is a business cell. Rent, sell, or gift from one garage storefront — no separate shop for every item.	Každý dům je obchodní buňka. Půjčujte, prodávejte nebo darujte z jedné garážové výlohy — bez samostatného obchodu pro každou věc.	
03 · Onboarding	onboarding.productIntro.catalogHint	string	Tap any category to open subcategories — tools, garden plants, cameras, party gear, and more.	Klepněte na kategorii a otevřete podkategorie — nářadí, rostliny, foťáky, párty a další.	
03 · Onboarding	onboarding.productIntro.catalogTitle	string	What neighbors share	Co sousedé sdílejí	
03 · Onboarding	onboarding.productIntro.continueCta	string	Continue →	Pokračovat →	
03 · Onboarding	onboarding.productIntro.eyebrow	string	Evorios	Evorios	
03 · Onboarding	onboarding.productIntro.gift	string	Gift	Darovat	
03 · Onboarding	onboarding.productIntro.giftHint	string	Pass along free	Předat zdarma	
03 · Onboarding	onboarding.productIntro.nextHint	string	Next: open your storefront, or browse the block.	Pak: otevřít výlohu, nebo procházet blok.	
03 · Onboarding	onboarding.productIntro.rent	string	Rent	Půjčit	
03 · Onboarding	onboarding.productIntro.rentHint	string	Borrow & earn	Půjčit i vydělat	
03 · Onboarding	onboarding.productIntro.sell	string	Sell	Prodat	
03 · Onboarding	onboarding.productIntro.sellHint	string	Buy nearby	Koupit poblíž	
03 · Onboarding	onboarding.productIntro.title	string	Your garage storefront	Vaše garážová výloha	
03 · Onboarding	onboarding.roleChoice.browseBlock.cta	string	Choose where to browse →	Vybrat, kde hledat →	
03 · Onboarding	onboarding.roleChoice.browseBlock.subtitle	string	Find gear, tools, and deals in neighbor garages.	Najděte vybavení, nářadí a nabídky u sousedů.	
03 · Onboarding	onboarding.roleChoice.browseBlock.title	string	Browse the block	Procházet blok	
03 · Onboarding	onboarding.roleChoice.footer	string	Switch between My Garage and Browse anytime.	Mezi Moje garáž a Procházet můžete přepínat kdykoli.	
03 · Onboarding	onboarding.roleChoice.stockGarage.cta	string	Start now →	Začít teď →	
03 · Onboarding	onboarding.roleChoice.stockGarage.subtitle	string	List, price, and share from your garage storefront.	Vystavujte, oceňujte a sdílejte z garážové výlohy.	
03 · Onboarding	onboarding.roleChoice.stockGarage.title	string	Open my business	Otevřít můj byznys	
03 · Onboarding	onboarding.roleChoice.subtitle	string	Run a storefront, or browse the block.	Provozujte výlohu, nebo procházejte blok.	
03 · Onboarding	onboarding.roleChoice.title	string	How do you want to start?	Jak chcete začít?	
03 · Onboarding	onboarding.tripDestination.ctaDefault	string	Continue →	Pokračovat →	
03 · Onboarding	onboarding.tripDestination.ctaWithCity()	fn	Browse garages near {{1}} →	Procházet garáže u {{1}} →	
03 · Onboarding	onboarding.tripDestination.subtitle	string	City or neighborhood where you'll pick up from a garage	Město nebo čtvrť, kde si vyzvednete věci z garáže	
03 · Onboarding	onboarding.tripDestination.title	string	Where are you headed?	Kam míříte?	
04 · Sign in / OTP	auth.agreePrefix	string	By continuing you agree to the	Pokračováním souhlasíte s	
04 · Sign in / OTP	auth.and	string	and	a	
04 · Sign in / OTP	auth.areaEmptyHint	string	Postal code or city in your country	PSČ nebo město ve vaší zemi	
04 · Sign in / OTP	auth.areaLabel	string	Your area	Vaše oblast	
04 · Sign in / OTP	auth.areaPlaceholder	string	Postal code or city	PSČ nebo město	
04 · Sign in / OTP	auth.checking	string	Checking code…	Kontroluji kód…	
04 · Sign in / OTP	auth.closeAria	string	Close sign-in	Zavřít přihlášení	
04 · Sign in / OTP	auth.codeMissingTitle	string	No code yet?	Kód ještě nedorazil?	
04 · Sign in / OTP	auth.codeSent	string	Code sent	Kód odeslán	
04 · Sign in / OTP	auth.codeWaitBody	string	Check Spam / Promotions, and double-check your email spelling (e.g. gmail, not gmal). Then resend or edit details.	Zkontrolujte Spam / Propagaci a správnost e-mailu (např. gmail, ne gmal). Pak pošlete znovu nebo upravte údaje.	
04 · Sign in / OTP	auth.codeWaitTitle()	fn	Code on the way — {{1}}s	Kód je na cestě — {{1}}s	
04 · Sign in / OTP	auth.confirmSubtitle()	fn	Check {{1}} for a message from undefined and paste your undefined code below.	Zkontrolujte {{1}} — zpráva od undefined — a vložte níže svůj undefined kód.	
04 · Sign in / OTP	auth.confirmTitle	string	Enter your sign-in code	Zadejte přihlašovací kód	
04 · Sign in / OTP	auth.detecting	string	Detecting…	Zjišťuji…	
04 · Sign in / OTP	auth.didYouMeanEmail()	fn	Did you mean {{1}}?	Mysleli jste {{1}}?	
04 · Sign in / OTP	auth.editDetails	string	Edit details	Upravit údaje	
04 · Sign in / OTP	auth.emailInvalid	string	Enter a valid email address.	Zadejte platnou e-mailovou adresu.	
04 · Sign in / OTP	auth.emailLabel	string	Email	E-mail	
04 · Sign in / OTP	auth.emailPlaceholder	string	you@example.com	vy@example.com	
04 · Sign in / OTP	auth.emptyValue	string	—	—	
04 · Sign in / OTP	auth.freeToJoin	string	Free to join · No credit card	Zdarma · Bez kreditní karty	
04 · Sign in / OTP	auth.intentBookRentano()	fn	{{1}}: Booking needs an account. Enter the code from your email and you're in.	{{1}}: Rezervace potřebuje účet. Zadejte kód z e-mailu a jste uvnitř.	
04 · Sign in / OTP	auth.intentBookSubtitle	string	Add your details — we'll email a sign-in code so hosts can reach you.	Doplňte údaje — pošleme e-mailem přihlašovací kód, aby vás hostitelé mohli kontaktovat.	
04 · Sign in / OTP	auth.intentGenericRentano()	fn	{{1}}: One account for your garage, bookings, and chat.	{{1}}: Jeden účet pro garáž, rezervace a chat.	
04 · Sign in / OTP	auth.intentGenericSubtitle	string	New or returning — enter your details and we'll email a sign-in code.	Nový nebo vracející se — zadejte údaje a pošleme e-mailem přihlašovací kód.	
04 · Sign in / OTP	auth.intentListRentano	string	Draft saved. Sign in first — you can connect payouts later when you're ready.	Koncept uložen. Nejdřív se přihlaste — výplaty můžete nastavit později, až budete chtít.	
04 · Sign in / OTP	auth.intentListSubtitle	string	Add your details — we'll email a sign-in code so your draft stays with you.	Doplňte údaje — pošleme e-mailem přihlašovací kód, ať koncept zůstane u vás.	
04 · Sign in / OTP	auth.intentMessageRentano()	fn	{{1}}: Messaging is for members — enter the code from your email to continue.	{{1}}: Zprávy jsou pro členy — zadejte kód z e-mailu a pokračujte.	
04 · Sign in / OTP	auth.intentMessageSubtitle	string	Add your details — we'll email a sign-in code to unlock messaging.	Doplňte údaje — pošleme e-mailem přihlašovací kód pro odemčení zpráv.	
04 · Sign in / OTP	auth.intentTitle	string	Sign in or create account	Přihlásit se nebo vytvořit účet	
04 · Sign in / OTP	auth.locationRequired	string	Pick your area — auto-detect or search by ZIP or city.	Vyberte oblast — automaticky nebo hledáním podle PSČ či města.	
04 · Sign in / OTP	auth.nameLabel	string	Your name	Vaše jméno	
04 · Sign in / OTP	auth.namePlaceholder	string	How neighbors will see you	Jak vás uvidí sousedé	
04 · Sign in / OTP	auth.nameRequired	string	Enter your name.	Zadejte své jméno.	
04 · Sign in / OTP	auth.newCodeIn()	fn	New code in {{1}}s	Nový kód za {{1}}s	
04 · Sign in / OTP	auth.otpLabel	string	Sign-in code	Přihlašovací kód	
04 · Sign in / OTP	auth.otpPlaceholder	string	Your code	Váš kód	
04 · Sign in / OTP	auth.phoneLabel	string	Phone	Telefon	
04 · Sign in / OTP	auth.phoneOptional	string	(optional)	(volitelné)	
04 · Sign in / OTP	auth.phonePlaceholder	string	(555) 123-4567	(555) 123-4567	
04 · Sign in / OTP	auth.privacy	string	Privacy Policy	Zásadami ochrany soukromí	
04 · Sign in / OTP	auth.rateLimit	string	Too many emails requested. Please wait about 15 minutes, then try again.	Příliš mnoho e-mailů. Počkejte asi 15 minut a zkuste to znovu.	
04 · Sign in / OTP	auth.resendIn()	fn	Resend in {{1}}s	Znovu za {{1}}s	
04 · Sign in / OTP	auth.sendCode	string	Send sign-in code	Poslat přihlašovací kód	
04 · Sign in / OTP	auth.sending	string	Sending…	Odesílám…	
04 · Sign in / OTP	auth.sendNewCode	string	Send a new code	Poslat nový kód	
04 · Sign in / OTP	auth.spamHint	string	Check spam or promotions if the code doesn't arrive within a minute.	Pokud kód nedorazí do minuty, zkontrolujte spam nebo propagaci.	
04 · Sign in / OTP	auth.summaryArea	string	Area	Oblast	
04 · Sign in / OTP	auth.summaryEmail	string	Email	E-mail	
04 · Sign in / OTP	auth.summaryName	string	Name	Jméno	
04 · Sign in / OTP	auth.summaryPhone	string	Phone	Telefon	
04 · Sign in / OTP	auth.supabaseMissing	string	Supabase env vars are missing — sign-in is unavailable in this build.	Chybí proměnné prostředí Supabase — přihlášení v tomto sestavení není k dispozici.	
04 · Sign in / OTP	auth.terms	string	Terms	Podmínkami	
04 · Sign in / OTP	auth.useMyLocation	string	Use my location	Použít moji polohu	
04 · Sign in / OTP	auth.useSuggestedEmail	string	Use this address	Použít tuto adresu	
04 · Sign in / OTP	auth.verify	string	Confirm and sign in	Potvrdit a přihlásit se	
04 · Sign in / OTP	auth.wrongDetailsHint	string	Wrong name or email? Tap Edit details, fix it, and send a new code.	Špatné jméno nebo e-mail? Klepněte na Upravit údaje, opravte je a pošlete nový kód.	
04 · Sign in / passkey	passkey.body	string	Use Face ID, Touch ID, or your device passcode next time — no email code needed.	Příště použijte Face ID, Touch ID nebo kód zařízení — bez e-mailového kódu.	
04 · Sign in / passkey	passkey.enableBusy	string	Opening Face ID…	Otevírám Face ID…	
04 · Sign in / passkey	passkey.enableCta	string	Enable Face ID	Zapnout Face ID	
04 · Sign in / passkey	passkey.enablePreparing	string	Preparing Face ID…	Připravuji Face ID…	
04 · Sign in / passkey	passkey.errors.alreadyEnabled	string	Face ID is already enabled on this device. Try signing in with Face ID, or sign in with email.	Face ID je na tomto zařízení už zapnuté. Zkuste se přihlásit Face ID, nebo e-mailem.	
04 · Sign in / passkey	passkey.errors.blockedBrowser	string	Face ID was blocked. Use Safari on iPhone (not a private tab), or sign in with email.	Face ID bylo zablokováno. Použijte Safari na iPhonu (ne soukromou záložku), nebo se přihlaste e-mailem.	
04 · Sign in / passkey	passkey.errors.blockedPwa	string	Face ID was blocked for the installed app. Check Settings → Face ID & Passcodes, then try again.	Face ID bylo pro nainstalovanou aplikaci zablokováno. Zkontrolujte Nastavení → Face ID a kódy a zkuste znovu.	
04 · Sign in / passkey	passkey.errors.cancelled	string	Face ID was cancelled. Try again when you’re ready.	Face ID bylo zrušeno. Zkuste to znovu, až budete připraveni.	
04 · Sign in / passkey	passkey.errors.challengeExpired	string	This Face ID attempt expired. Please try again.	Tento pokus o Face ID vypršel. Zkuste to znovu.	
04 · Sign in / passkey	passkey.errors.domainGeneric	string	Face ID is not set up for this address. Open the same app icon or Safari tab you used when you enabled Face ID.	Face ID není pro tuto adresu nastaveno. Otevřete stejnou ikonu aplikace nebo záložku Safari jako při zapnutí Face ID.	
04 · Sign in / passkey	passkey.errors.domainIosPwa	string	Face ID does not match this installed app. Sign in with email once, then tap Enable Face ID again from this Home Screen icon.	Face ID neodpovídá této nainstalované aplikaci. Jednou se přihlaste e-mailem a znovu klepněte na Zapnout Face ID z této ikony na ploše.	
04 · Sign in / passkey	passkey.errors.domainIosSafari	string	Face ID was set up in a different place (Safari tab vs Home Screen app). Sign in with email, then enable Face ID from the same place you use daily.	Face ID bylo nastaveno jinde (záložka Safari vs. aplikace na ploše). Přihlaste se e-mailem a zapněte Face ID na stejném místě, které používáte denně.	
04 · Sign in / passkey	passkey.errors.generic	string	Face ID could not be completed. Try again or sign in with email.	Face ID se nepodařilo dokončit. Zkuste to znovu nebo se přihlaste e-mailem.	
04 · Sign in / passkey	passkey.errors.hostNote()	fn	 Use {{1}} (not a preview link).	 Použijte {{1}} (ne náhledový odkaz).	
04 · Sign in / passkey	passkey.errors.network	string	Cannot reach the sign-in service. Check your connection and try again.	Nelze se spojit s přihlašovací službou. Zkontrolujte připojení a zkuste znovu.	
04 · Sign in / passkey	passkey.errors.noPasskey	string	No Face ID passkey for this account. Sign in with email, then enable Face ID when prompted.	Pro tento účet není Face ID passkey. Přihlaste se e-mailem a zapněte Face ID, až budete vyzváni.	
04 · Sign in / passkey	passkey.errors.notConfigured	string	Face ID is not available right now. Sign in with email instead.	Face ID teď není k dispozici. Přihlaste se e-mailem.	
04 · Sign in / passkey	passkey.errors.serverUnavailable	string	Sign-in service is temporarily unavailable. Use email sign-in, or try again in a few minutes.	Přihlašovací služba je dočasně nedostupná. Použijte e-mail, nebo to zkuste za pár minut.	
04 · Sign in / passkey	passkey.errors.unsupported	string	This browser does not support Face ID passkeys. Use Safari on iPhone, or sign in with email.	Tento prohlížeč nepodporuje Face ID passkey. Použijte Safari na iPhonu, nebo se přihlaste e-mailem.	
04 · Sign in / passkey	passkey.errors.verificationFailed	string	Face ID verification failed. Sign in with email once, then enable Face ID again (especially if you changed devices or reinstalled the app).	Ověření Face ID selhalo. Jednou se přihlaste e-mailem a znovu zapněte Face ID (zejména po změně zařízení nebo přeinstalaci).	
04 · Sign in / passkey	passkey.hintIosPwa	string	Using the app from your Home Screen. Face ID must have been enabled on this same app icon.	Používáte aplikaci z plochy. Face ID muselo být zapnuto u stejné ikony.	
04 · Sign in / passkey	passkey.hintIosSafari	string	Using Safari. To use the installed app later, enable Face ID again from that icon.	Používáte Safari. Pro nainstalovanou aplikaci později zapněte Face ID znovu z té ikony.	
04 · Sign in / passkey	passkey.hintPreview()	fn	Passkeys work best at {{1}} — preview URLs may not match Face ID.	Passkey fungují nejlépe na {{1}} — náhledové URL nemusí odpovídat Face ID.	
04 · Sign in / passkey	passkey.hintPwa	string	Using the installed app. Face ID is tied to this app icon, not a browser tab.	Používáte nainstalovanou aplikaci. Face ID je vázané na tuto ikonu, ne na záložku prohlížeče.	
04 · Sign in / passkey	passkey.maybeLater	string	Maybe later	Možná později	
04 · Sign in / passkey	passkey.title	string	Enable Face ID for faster login?	Zapnout Face ID pro rychlejší přihlášení?	
04 · Sign in prompt	signInPrompt.cta	string	Sign in / Create account	Přihlásit se / Vytvořit účet	
05 · Install / PWA	install.addedContinue	string	I’ve added it — continue	Přidal(a) jsem — pokračovat	
05 · Install / PWA	install.almostThereAlert()	fn	"Almost there!
Open the {{1}} icon on your Home Screen (not this browser tab)."	"Skoro hotovo!
Otevřete ikonu {{1}} na ploše (ne tuto záložku prohlížeče)."	
05 · Install / PWA	install.androidAfter()	fn	Open the {{1}} icon from your Home Screen. Updates install overnight.	Otevřete ikonu {{1}} z plochy. Aktualizace se nainstalují přes noc.	
05 · Install / PWA	install.androidInstallReady	string	Tap Install below — one tap, no store download.	Klepněte níže na Instalovat — jedno klepnutí, bez obchodu.	
05 · Install / PWA	install.androidInstallStep	string	Tap Install app or Add to Home screen	Klepněte na Instalovat aplikaci nebo Přidat na plochu	
05 · Install / PWA	install.androidMenuStep	string	Open the browser menu ⋮	Otevřete nabídku prohlížeče ⋮	
05 · Install / PWA	install.body()	fn	{{1}} becomes undefined on your Home Screen. Use Safari’s Share button below — the cards are only a guide.	{{1}} se na ploše zobrazí jako undefined. Použijte tlačítko Sdílet v Safari níže — karty jsou jen návod.	
05 · Install / PWA	install.eyebrow	string	No App Store download	Bez stahování z App Store	
05 · Install / PWA	install.installApp()	fn	Install {{1}}	Nainstalovat {{1}}	
05 · Install / PWA	install.iosAddButton	string	Add	Přidat	
05 · Install / PWA	install.iosAfterAdd()	fn	After Add, Safari closes and the {{1}} icon appears on your Home Screen. Open it anytime — updates install overnight.	Po Přidat Safari zavře a na ploše se objeví ikona {{1}}. Otevřete ji kdykoli — aktualizace se nainstalují přes noc.	
05 · Install / PWA	install.iosStep1Hint	string	Center of the bottom bar	Uprostřed spodní lišty	
05 · Install / PWA	install.iosStep1Title	string	Square with arrow	Čtverec se šipkou	
05 · Install / PWA	install.iosStep2Hint	string	Scroll the Share menu, then tap it	Posuňte nabídku Sdílet a klepněte	
05 · Install / PWA	install.iosStep2Title	string	View More	Zobrazit více	
05 · Install / PWA	install.iosStep3Hint	string	Square with a plus	Čtverec s plusem	
05 · Install / PWA	install.iosStep3Title	string	Add to Home Screen	Přidat na plochu	
05 · Install / PWA	install.iosStep4Hint()	fn	Keep “{{1}}” as the name (or edit it)	Ponechte „{{1}}“ jako název (nebo upravte)	
05 · Install / PWA	install.iosStep4Title	string	Add	Přidat	
05 · Install / PWA	install.liveNow	string	Now	Teď	
05 · Install / PWA	install.livePaused	string	Paused — tap to play	Pozastaveno — klepněte pro přehrání	
05 · Install / PWA	install.livePlaying	string	Playing guide…	Přehrávám návod…	
05 · Install / PWA	install.liveTapReplay	string	Tap to replay this step	Klepněte pro zopakování kroku	
05 · Install / PWA	install.liveThen	string	Then	Pak	
05 · Install / PWA	install.nudgeBody	string	Tap Share in Safari — center of the bottom bar	Klepněte na Sdílet v Safari — uprostřed spodní lišty	
05 · Install / PWA	install.nudgeShareLabel	string	Share	Sdílet	
05 · Install / PWA	install.nudgeTitle	string	Do this now	Udělejte teď	
05 · Install / PWA	install.stepCoachLater	string	After Share opens, look for this next	Až se otevře Sdílet, hledejte toto	
05 · Install / PWA	install.stepCoachShare	string	Start with Safari Share below ↓ — this card is only a preview	Začněte tlačítkem Sdílet v Safari níže ↓ — tato karta je jen náhled	
05 · Install / PWA	install.stepsGuideLabel	string	Guide (not buttons) — then do this in Safari	Návod (ne tlačítka) — pak to udělejte v Safari	
05 · Install / PWA	install.stepTapAria()	fn	Guide step {{1}}. Tip: use Safari Share below.	Krok návodu {{1}}. Tip: použijte Sdílet v Safari níže.	
05 · Install / PWA	install.tapStepCoach	string	These cards are a guide — tap Share in Safari’s bottom bar ↓	Tyto karty jsou jen návod — klepněte na Sdílet ve spodní liště Safari ↓	
05 · Install / PWA	install.titleLine1	string	Install your	Nainstalujte si	
05 · Install / PWA	install.titleLine2	string	neighborhood marketplace	sousedský trh	
05 · Install / PWA	pwa.androidManual.addToHome	string	Add to Home screen	Přidat na plochu	
05 · Install / PWA	pwa.androidManual.after	string	 in the prompt.	 v dialogu.	
05 · Install / PWA	pwa.androidManual.beforeMenu	string	In Chrome: menu 	V Chrome: menu 	
05 · Install / PWA	pwa.androidManual.installApp	string	Install app	Nainstalovat aplikaci	
05 · Install / PWA	pwa.androidManual.lookFor	string	 — look for 	 — hledejte 	
05 · Install / PWA	pwa.androidManual.or	string	 or 	 nebo 	
05 · Install / PWA	pwa.androidManual.promptName	string	Neighborhood Marketplace	Neighborhood Marketplace	
05 · Install / PWA	pwa.androidReady()	fn	One tap install — shows as {{1}}, full screen, no browser bar.	Instalace jedním klepnutím — jako {{1}}, na celou obrazovku, bez lišty prohlížeče.	
05 · Install / PWA	pwa.bannerAndroidManualBefore	string	In Chrome: menu 	V Chrome: menu 	
05 · Install / PWA	pwa.bannerAndroidManualInstall	string	Install app	Nainstalovat aplikaci	
05 · Install / PWA	pwa.bannerAndroidManualLookFor	string	 — look for 	 — hledejte 	
05 · Install / PWA	pwa.bannerAndroidReady()	fn	 — {{1}}, rent · sell · gift on your block.	 — {{1}}, půjčit · prodat · darovat ve vašem bloku.	
05 · Install / PWA	pwa.bannerInstallsAs	string	Installs as 	Nainstaluje se jako 	
05 · Install / PWA	pwa.bannerIosAddToHome	string	Add to Home Screen	Přidat na plochu	
05 · Install / PWA	pwa.bannerIosAs	string	 as 	 jako 	
05 · Install / PWA	pwa.bannerIosBeforeShare	string	Tap 	Klepněte na 	
05 · Install / PWA	pwa.bannerIosMid	string	 in Safari → 	 v Safari → 	
05 · Install / PWA	pwa.bannerIosShare	string	Share	Sdílet	
05 · Install / PWA	pwa.bannerTitle	string	Add your neighborhood marketplace	Přidejte si sousedský trh	
05 · Install / PWA	pwa.dismissAria	string	Dismiss install tip	Zavřít tip k instalaci	
05 · Install / PWA	pwa.gotIt	string	Got it	Rozumím	
05 · Install / PWA	pwa.hintAndroidRequired	string	On Android use Chrome (or your default browser) to install.	Na Androidu použijte Chrome (nebo výchozí prohlížeč) k instalaci.	
05 · Install / PWA	pwa.hintCoachLine()	fn	Until the App Store / Play Store listing is ready, install {{1}} from your browser as undefined. Read the steps, then tap Understood.	Než bude výpis v App Store / Play Store, nainstalujte {{1}} z prohlížeče jako undefined. Přečtěte kroky a klepněte na Rozumím.	
05 · Install / PWA	pwa.hintContinue	string	Continue →	Pokračovat →	
05 · Install / PWA	pwa.hintCountdown()	fn	{{1}}s	{{1}}s	
05 · Install / PWA	pwa.hintRequiredLabel	string	Please read	Přečtěte si	
